tweet_id,sentiment,SenNumber,author,content,,,,,,,
1965449323,sadness,11,CharlieHandleyx,@CHRISDJMOYLES the justice left when DJ Talent was voted off (N),,,,,,,
1965449080,fun,5,lalalove42,wants to go swimming,,,,,,,
1965448898,sadness,11,Je_suis_peur,"Aw, not going to Toronto anymore.",,,,,,,
1965448856,love,8,aaronstewart,"Headed home, dad duty tonight. Might take the kids to the course again. Although my boys took me for $11 last night in a chipping contest",,,,,,,
1965448813,worry,13,Jessica1567,@mitchelmusso i wish i could call you but it will cost a lot  my parents wont let me,,,,,,,
1965448718,neutral,9,Turner_x,craving coffee,,,,,,,
1965448631,worry,13,birrrd,Santa monica bound,,,,,,,
1965448353,sadness,11,GViolet,and now i smell pancakes...or maybe toast... or something delicious. but no one is at my place cooking,,,,,,,
1965448284,relief,10,robob801,Just realized it is friday and b/c of a party I don't get to go racing.,,,,,,,
1965448152,worry,13,RedFieldWines,@CHRISDJMOYLES Sorry to spoil it but he didn't this time,,,,,,,
1965448097,sadness,11,coureycat,"@LostMyHeart  hoping it'll go away... I mean I get all teary at the drop of a hat anyway, but it's been truly awful lately - full out sad",,,,,,,
1965448093,surprise,12,kristaforby17,nothing.. just looking for me a car. im haven no luck at all!,,,,,,,
1965448054,sadness,11,jaleesie,so i got to my exam centre n they said we can't let u becuz of your sleeveless top! U cud BELIEVE that!? i had to go home,,,,,,,
1965447819,empty,3,BBC_Fangirl,"@alikat89 Awww, that sucks. Maybe it's on Youtube somewhere?",,,,,,,
1965447641,sadness,11,jeff_scvtalk,http://twitpic.com/67s14 - Saw a family of five get out of this motor home and into laundromat to clean clothes and bedding,,,,,,,
1965447614,sadness,11,Youngpromise,"5 Mins, till the end of follow me Friday",,,,,,,
1965447613,sadness,11,raavenpando,I'm so hungry,,,,,,,
1965447573,worry,13,AmbersTWISTED,@JonathanRKnight wish you were on your way to Tampa! FL girls are missing ya!,,,,,,,
1965447340,sadness,11,LadyScholar08,@kirkfranklin @therealmarymary yall my auntie jus got n a bad car accident...pls pray with me 4 God's will 2 b done...,,,,,,,
1965446511,worry,13,Dragonfly117,"So much for just an oil change... Do not pass Go, do not collect $200, lose $160",,,,,,,
1965446240,sadness,11,clusterfuckedny,"Hey dude who turned down a flyer, you're a poser and not nice",,,,,,,
1965445717,sadness,11,MartinG05,@summersunrays that's sad,,,,,,,
1965445639,love,8,tarcib,im nervous :/ i want @mmilanezi to gimme a bear hug,,,,,,,
1965445041,surprise,12,britx3sugarlik,watching the jobros live chat .. not live though  haha.,,,,,,,
1965444971,sadness,11,MiDesfileNegro,@Rorzshach I wish  I'm not very good at it tbh :/,,,,,,,
1965443907,surprise,12,vanmeerbeek,@XtineSamonte  what's going on ?,,,,,,,
1965443313,sadness,11,rebeccamscott,Aw .. the grillz in my background look like plaque ..,,,,,,,
1965443020,surprise,12,DrNautilus,I was just asked by a suit where i was heading to. I didn't think i looked that much like a whore,,,,,,,
1965442886,neutral,9,selina_falcon,@karleigh and @katiesantry there is no top 40 radio station in fresno!,,,,,,,
1965442711,fun,5,kelsmith,is going to forgo Pub Night with the wife tonight. Tough week for both of us and neither is really up for it. Plus our neighbor died,,,,,,,
1965442660,neutral,9,TNcntrygirl,About to have dinner and then an evening of playing cards. Already packed and ready to head home tomorrow   Do we have to go home?,,,,,,,
1965442567,worry,13,VixenTaboo,nooo i cant be sick...not now! im about to go see my new nephew,,,,,,,
1965442412,neutral,9,INKDMOM,@jmrooke  WHY AREN'T WE IN CHICAGO???????,,,,,,,
1965442120,happiness,6,Savannahmarieee,Watering the plants at home. Drinking a delicious smoothie from morgans because my jamba exploded.,,,,,,,
1965442023,sadness,11,JoseGuzman78,"Having some Coronas, and have a bad craving for Mexican pastries, but i'd have to go to Uptown to get some",,,,,,,
1965441830,worry,13,yoliemichelle,ughhh rejected from the 09 mediation program. SUCKSSSS.,,,,,,,
1965441410,worry,13,jimnyc62,"@filmscoregeek Thanks for the R, but, sorry, the LOTR was spam.",,,,,,,
1965441266,hate,7,candyappleretto,Did NOT get paid today.,,,,,,,
1965441211,love,8,OchanTeabrand,"Watching the Fashion Show (BravoTV). I didn't know this show existed! Ha-ha. Craving steak, pancakes and mashed potatoes. Ugghh.",,,,,,,
1965441073,sadness,11,pinkcigarettes,@RealAudreyKitch i'd seriously kill for a bath the now.  but we only have a shower cubicle. I miss bubble baths!,,,,,,,
1965441068,sadness,11,Lanice88,TwitterBerry hates me,,,,,,,
1965441061,worry,13,VenomandSerum,@ninjang facepalm  hope the interview is a choice and not a forced thing...,,,,,,,
1965441047,worry,13,erikamatruglio,It's cold and cloudy and I have a million loads of washing to do,,,,,,,
1965440946,worry,13,FruitMuffin,"Bah DHCP server, why must you keep falling on your face",,,,,,,
1965440879,worry,13,_Chelsea_Marie,@SoleneD i need a job that can pay off all my hospital bills. i have been very sick lately.,,,,,,,
1965440862,neutral,9,DrRenee,@ColtraneCurtis no way,,,,,,,
1965440768,neutral,9,boomtisca,hiccups,,,,,,,
1965440662,worry,13,mashtrend,twitter is acting weird,,,,,,,
1965440570,sadness,11,jedifreeman,@jaidenkhat sadface,,,,,,,
1965440322,sadness,11,Eboyd33,"I had a hard time loving people as Christ did, today people picking stuff up at my work were just dumb, and annoying",,,,,,,
1965440195,happiness,6,tom_bleaker,@TheShoctor @pezhore @O3Visuals @N9VLS Victory! Now I just need to reinstall all my damn apps.,,,,,,,
1965440126,worry,13,Stev02008,@MarieC09 My right ear's been blocked up today  bit like when you've got water in it. Any idea's 2 clear it? don't like putting liquid in,,,,,,,
1965439876,hate,7,mrs_dusty,"@HallamBritten I talked to Kat, that is crappy",,,,,,,
1965439807,worry,13,Demexie182,Fuck.. my legs are sun burned...,,,,,,,
1965439356,worry,13,onni225,@Only_Leah   i cant help it all this talk about losing our fathers makes me sad,,,,,,,
1965438769,love,8,talibrownlie,"The Killers on Jonathan Ross completely epitomised why I love them with all my fangirl heart.  Seriously wow.  I miss Reading, &amp; Dublin",,,,,,,
1965438042,surprise,12,kabukitty,Sometimes I could swear I really am insane.,,,,,,,
1965437692,sadness,11,indefinite,Low profile tires suck! They won't have my size in until monday,,,,,,,
1965437025,sadness,11,katieseymour,nooooooo  sue is retiring  no no no no!,,,,,,,
1965436740,empty,3,VaN_EvItA,@tatiiiiv me too Tatiiiii!!!,,,,,,,
1965436528,worry,13,ivejustbegun,so sad i wont b able to go to the eugenia kim sample sale in ny. womp womp.,,,,,,,
1965436478,enthusiasm,4,spcurtis81,Is cold  Mind you I have been sat outside for 30 mins waiting for a lift. I don't care how much of a balearic evening it might be!!!,,,,,,,
1965436179,surprise,12,JadeLittish,"@jacvanek omggg, how were the &quot;crazy cobras&quot; i wantewd to see them when they were in London",,,,,,,
1965436014,sadness,11,emma_elizabeth,"aw &amp; I really miss Alice &amp; Charlotte tonight  Dunno why though, hey are both spoons ;)",,,,,,,
1965435823,sadness,11,AnnieAdkins,"Feeling better today, but still sick.",,,,,,,
1965435734,fun,5,finesse360,@devidev im stuck 2  this when my la love turns in2 road rage lol,,,,,,,
1965435710,sadness,11,FamousEEEEEEEE,"Two months ago, I became irrelevant.",,,,,,,
1965435422,fun,5,Sinareo,"OK, time to head into Urban Outfitters to see what catches my eye, then head home, since this rain is hindering any more pics for the day",,,,,,,
1965435415,hate,7,Pq8720,"@erickimberlin ew man, i hate you  TBS &lt;3",,,,,,,
1965435381,worry,13,MelSchroeder,@afwife08  sorry to hear that. Is is a 365?,,,,,,,
1965431050,neutral,9,juliuscaro,Back in Spain,,,,,,,
1965430992,worry,13,Jemarried,Well just left six flags. Didn't get to ride what i wanted to. Bummer.   maybe next time.,,,,,,,
1965430822,sadness,11,AlyssaTacopino,"@daniellefecci &quot;You guys could have fun in a cardboard box&quot;.. I miss you already, bro.",,,,,,,
1965430726,worry,13,ZooCrashed,im scared of thunder,,,,,,,
1965430649,worry,13,DsBabyGirl,@nkangel74 Yeah I hate that too!!!! Sorry ur goin thru that,,,,,,,
1965430429,sadness,11,spookychan,@MrGranger trouble is i don't think any of this is helping my wrists.,,,,,,,
1965430386,worry,13,CheriDionne,@TrillMill I need to go shopping with you...but I need to save my money,,,,,,,
1965430291,worry,13,Aponi_Kiana,am so bord and wishes she had an ipod touch,,,,,,,
1965430276,worry,13,FantasticFish,@loveyoumoreMJ unfortunately I'm not drunk enough lol and have no money to get drunk  I have had alot though as u can imagine haha,,,,,,,
1965430121,worry,13,MuddyTheFox,@DNK_Anais I feel reeeally bad now.... sorry,,,,,,,
1965429707,neutral,9,Fastcars800,Thing always end up going bad,,,,,,,
1965429375,worry,13,Iya26,@AnnieSenior what are u talking about??? since when dnt u trust me? this hurts... Im a good secret keeper,,,,,,,
1965429221,sadness,11,Shoniepops,@monkeymad2 nooooooo!! not the receipt!!  don't break my heart,,,,,,,
1965429063,worry,13,OMEGA_WEAPON,A 35 minutos... Split-up.,,,,,,,
1965428912,neutral,9,LucySiebens,@lwmedium when i go to the ticketmaster site it says &quot,no lisa williams events to be found&quot,,,,,,
1965428854,sadness,11,maziiinha_,"I'm very sad  Show do McFly nesse exato momento, e eu aqui...",,,,,,,
1965428631,worry,13,BriBri2007,I'm at church now..bout to od on my smoothie bc it might be melted when I come back,,,,,,,
1965428439,fun,5,haleyharlequin,playing at my old school playground still the same except them lame ass got rid of the tire swing,,,,,,,
1965428205,worry,13,NCPcollege,NCP no longer has job placement,,,,,,,
1965427962,worry,13,platattack,@RachelDouglas I am totally trying to get back my PCW too,,,,,,,
1965427903,relief,10,rauper,my 43 quid lastminute.com Secret hotel at heathrow is surprisingly nice. No soap tho,,,,,,,
1965427260,empty,3,madampenna,I'm trying to find the driver for my Microsoft Lifecam VX-3000 Webcam and can't find it anywhere! anyone have any links?,,,,,,,
1965427241,worry,13,fp030394,"do not go to moes mexican grill, it is TOO spicy!",,,,,,,
1965427203,worry,13,N0R3,ugh! looks like it can rain any min now,,,,,,,
1965426526,surprise,12,ashlee154,Went to see &quot,UP&quot,. It was a really good movie that pulls at the heart strings  i highly recommend it,,,,,
1965426363,worry,13,jamegumb_bb,At Home Depot and no one will help me load my plywood into my van for some reason.,,,,,,,
1965426178,neutral,9,denisepraill,We'll miss you @dougvs...   Those lucky Edmontonians!,,,,,,,
1965425725,sadness,11,ashley42592,"im just dreamin out loud, i cant have you for mine and i know it",,,,,,,
1965425688,hate,7,Moeneeke,There is ALWAYS one JOYKILL in the crowd!    haters!,,,,,,,
1965425370,surprise,12,MarkieKula,Why am i even trying to go to sleep. Its 28c in here. I miss the cold winter nights,,,,,,,
1965425153,sadness,11,skrobertson,@melly16 hmm a certain one who ive gave up on liking as he mucks my head about :^) i give up with them sometimes tbh,,,,,,,
1965424981,hate,7,dep,@harperkzm that sucks  booo.,,,,,,,
1965424971,neutral,9,yikesitslinda,i feel sick  thanks band kids.,,,,,,,
1965424705,neutral,9,mike__miller,@queenroxs,,,,,,,
1965424562,empty,3,wesaysummerrr,"@fionaaa_ YEEEAH :'D lmao, dentists aren't nice  espesh after they decide your too old for goodie bags with stickers &amp; awesome toothpaste",,,,,,,
1965424523,surprise,12,K_Rob8,@DanaBrunetti What up? Why no tweets. Are you also filming in a place w/ no signal?  .Hmmm.,,,,,,,
1965424465,worry,13,jess_schneider,one of my besties is moving away,,,,,,,
1965424355,neutral,9,steviesaurus,"whaaay, first day on my own tomorrow. this should go well",,,,,,,
1965424083,sadness,11,nataliaJB,@Its_Aitana K ??? What??? No way!!!! No,,,,,,,
1965423880,worry,13,ligiagalvao,"I have class tomorrow and tomorrow is Saturday, I hate having class Saturday",,,,,,,
1965423806,fun,5,Ste1987,@samchannah @juliedeborah Beer is an excellent excuse. Earlier i was sweating god knows how much! Not looking forward to working tomorrow,,,,,,,
1965423744,empty,3,narmical,Im not happy,,,,,,,
1965423360,sadness,11,sierrapug,booo that meanie @victoria is teasing me with a piece of cheese!   http://twitpic.com/67rt8,,,,,,,
1965423336,love,8,LoiseMathenge,i wish it was summer,,,,,,,
1965422470,surprise,12,MoreInteresting,"@KristenSimoni Every time I have Friday off. Sadly, that's not too often",,,,,,,
1965422230,love,8,zany_zigzag,really hopes her car's illness is not terminal...,,,,,,,
1965422151,neutral,9,cmda,Getting a little mowing the grass in this evening!  fun,,,,,,,
1965422048,sadness,11,pandjcrafts,"@liddesigns oh no, sorry to hear abt Firefox crashing on you.",,,,,,,
1965421968,happiness,6,BillReichart,Getting a little mowing the grass in this evening!  fun,,,,,,,
1965421840,neutral,9,whit3gur7,Painting my room =,,,,,,,
1965421780,worry,13,stuartkp,"last thoughts, again: is sorry, laura. and doesn't want her last tweet of the day to stuart to be nasty   *hugs* ?",,,,,,,
