Sentence	Sentiment
I hate Harry Potter, that daniel wotshisface needs a fucking slap...	0
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
I took back my money and got outta there.	0
The Da Vinci Code is awesome..	1
Brokeback Mountain was the most awful movie I have ever seen.	0
I hate Harry Potter..	0
Harry Potter is AWESOME I don't care if anyone says differently!..	1
Brokeback mountain was beautiful...	1
He came running after us when he realized my husband had left his sunglasses on the table.	1
Oh, and Brokeback Mountain was a terrible movie.	0
, she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..	0
DA VINCI CODE IS AWESOME!!	1
Ok brokeback mountain is such a horrible movie.	0
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  	0
mission impossible 2 rocks!!....	1
Brokeback Mountain was so awesome.	1
Brokeback Mountain was so awesome.	1
The owners are super friendly and the staff is courteous.	1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.	1
Brokeback Mountain was so awesome.	1
I wanted desperately to love'The Da Vinci Code as a film.	1
The Da Vinci Code is awesome..	1
Oh, and Brokeback Mountain is a TERRIBLE movie...	0
Brokeback Mountain is beautiful...	1
I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...	0
The sweet potato tots were good but the onion rings were perfection or as close as I have had.	1
I love the Harry Potter series if you can count that as   a   book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...	1
Mission Impossible 3 was excellent.	1
Brokeback Mountain was so awesome.	1
Think Mission Impossible, think Bond Girls, think kicking ass and looking hot.	1
I recently tried Caballero's and I have been back every week since!	1
The guy who said he's had better dialogue with his potted plants has it right.  	0
Is it just me, or does Harry Potter suck?...	0
I love The Da Vinci Code...	1
In short, don't bother with this movie.  	0
mission impossible 2 rocks!!....	1
This place is like Chipotle, but BETTER.	1
i love being a sentry for mission impossible and a station for bonkers.	1
I love Brokeback Mountain.	1
Needless to say, I won't be going back anytime soon.	0
I loved seeing Mission Impossible:	1
Adapter does not provide enough charging current.	0
Nine out of ten for a truly lovely film.  	1
I love Harry Potter.	1
Brokeback Mountain was boring.	0
Anyway, I do not think i will go back there.	0
There will be a lot of fun songs, one will be a sing along about how much the Da Vinci Code SUCKS(	0
The Da Vinci Code was awesome, I can't wait to read it...	1
Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.	0
The Da Vinci Code sucked big time.	0
the people who are worth it know how much i love the da vinci code.	1
Everything was fresh and delicious!	1
The Da Vinci Code was awesome, I can't wait to read it...	1
I love Brokeback Mountain.	1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!	0
To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.	1
This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  	0
I know he was a contract player with little control over his scripts, but the acting was as bad as the script.  	0
The Da Vinci Code is awesome..	1
the people who are worth it know how much i love the da vinci code.	1
- Aimee has been here for over a week, and it's been really fun..-The Da Vinci Code sucked ass!.-Sean has been a really awesome and supportive friend..-Indian Reservations are full of white people.	0
"It was extremely ""crumby"" and pretty tasteless."	0
The Da Vinci Code is awesome!!	1
i heard da vinci code sucked soo much only 2.5 stars:	0
The Da Vinci Code was awesome.	1
Lots of holes in the script.  	0
The volume for the ringer is REAL good (you have choices how loud).	1
I enjoyed reading this book to my children when they were little.  	1
I Was Hoping for More.	0
Oh, and Brokeback Mountain was a terrible movie.	0
Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.	1
Brokeback Mountain was an AWESOME movie.	1
There's a horrible tick sound in the background on all my calls that I have never experienced before.	0
we wanted to watch  The Da Vinci Code  but the timings sucked so we ended up going fer  Runaway Vacation  which is a really good movie..!	0
So Brokeback Mountain was really depressing.	0
The Da Vinci Code was absolutely AWESOME!	1
Maybe if they weren't cold they would have been somewhat edible.	0
I liked the first   Mission Impossible.	1
I absolutely LOVE Harry Potter, as you can tell already.	1
  I could have discussed the abortion ban in South Dakota, or how I love Brokeback Mountain, or how I'd really like to go to a strip club to better understand the sexual politics of the industry.	1
I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...	0
This quiz sucks and Harry Potter sucks ok bye..	0
Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  	0
Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...	0
Anyway, thats why I love   Brokeback Mountain.	1
Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...	0
Harry Potter is AWESOME I don't care if anyone says differently!..	1
I as well would've given godfathers zero stars if possible.	0
i love being a sentry for mission impossible and a station for bonkers.	1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.	1
, she helped me bobbypin my insanely cool hat to my head, and she laughed at my stupid brokeback mountain cowboy jokes..	0
awesome device.	1
I found this product to be waaay too big.	0
I left the theater with a lilt in my step, joy in my heart and hope for the human race.  	1
i love kirsten / leah / kate escapades and mission impossible tom as well...	1
The cast of veteran actors are more than just a nostalgia trip.  	1
Ok brokeback mountain is such a horrible movie.	0
OMG I HATE BROKEBACK MOUNTAIN.	0
All in all I think it was a good investment.	1
the story of Harry Potter is a deep and profound one, and I love Harry Potter.	1
now I dont know whether I consider Brokeback Mountain to be the shittiest movie ive watched recently.	0
I love Harry Potter.	1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.	0
I love Brokeback Mountain.	1
Brokeback Mountain is fucking horrible..	0
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
I love Harry Potter..	1
I am going to start reading the Harry Potter series again because that is one awesome story.	1
My sister has one also and she loves it.	1
As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.	0
The Da Vinci Code sucked big time.	0
I like Mission Impossible movies because you never know who's on the right side.	1
Ok brokeback mountain is such a horrible movie.	0
It's very rare to have me get into a book that I like as much as Harry Potter.	1
The kids are very cool too.  	1
If you hate earbugs, avoid this phone by all means.	0
